ID,Entry,Action,Recommend,Rationals,Annotation,Notes,AfD Archive Link
0,Aleksandra_Dranka,reply,none,"The only thing remotely noteworthy about this perfectly lovely old gal was her longevity, and, yes, sir, what noteworthy substance there is can be covered in one or two sentences in List of Polish supercentenarians",Value + Editorial Process (article),User gives a personal opinion of subject about what is noteworthy + until it mentions how best the article can be kept that corresponds to Editorial Process,Wikipedia:Articles for deletion/Aleksandra_Dranka
Q16527470,Aleksandra_Dranka,reply,none,Most of these articles are perfect candidates for an entry on a list instead of a stand-alone article,Editorial Process (article),Suggestion where the article would be best placed,Wikipedia:Articles for deletion/Aleksandra_Dranka
Q16527470,Aleksandra_Dranka,reply,none,That's the reality you face,Other,Unrelated to the content of the article,Wikipedia:Articles for deletion/Aleksandra_Dranka
Q16527470,Aleksandra_Dranka,reply,none,"If we were Britannica, World Book or any other serious encyclopedia, the editorial board would mock anyone who proposed a stand-alone article for this subject",Other,Unrelated to the content of the article,Wikipedia:Articles for deletion/Aleksandra_Dranka
Q16527470,Aleksandra_Dranka,reply,none,"CommanderLinx, I have no idea what your nationality might be, but here in the United States senior citizens whose relatives request a birthday greeting for a parent or grandparent over the age of 90 from their U",Fact,Verifiable Statement,Wikipedia:Articles for deletion/Aleksandra_Dranka
Q16527470,Aleksandra_Dranka,reply,none,S,cont'd,_,Wikipedia:Articles for deletion/Aleksandra_Dranka
Q16527470,Aleksandra_Dranka,reply,none,"Representative, U",cont'd,_,Wikipedia:Articles for deletion/Aleksandra_Dranka
Q16527470,Aleksandra_Dranka,reply,none,S,cont'd,_,Wikipedia:Articles for deletion/Aleksandra_Dranka
Q16527470,Aleksandra_Dranka,reply,none,Senator or the President will receive such a letter,cont'd,_,Wikipedia:Articles for deletion/Aleksandra_Dranka
Q16527470,Aleksandra_Dranka,reply,none,Almost all federal and statewide elected officials have a correspondence staff with word-processor form letters and auto-pen signatures for generating this and other routine correspondence of a similar nature (but don't tell Grandma!),Fact,Verifiable Statement,Wikipedia:Articles for deletion/Aleksandra_Dranka
Q16527470,Aleksandra_Dranka,reply,none,"Hitting 90 has become so relatively common, that it's not even considered newsworthy enough to get a sentence in the local newspaper, and we now have literally thousands of seniors who are 100+",Fact + Value,Personal Opinion on what it is noteworthy + Verifiable Statement about thousands of seniors,Wikipedia:Articles for deletion/Aleksandra_Dranka
Q16527470,Aleksandra_Dranka,reply,none,"My maternal grandmother lived to be 104 (my other three grandparents all lived to be 90+), and my grandmother wasn't even among the five oldest in her assisted living facility",Testimony  ,"User stated personal experiences, stated his/her grandmother's experience which can only verified by himself/herself. This is related to the subject since it talks about longevity",Wikipedia:Articles for deletion/Aleksandra_Dranka
Q16527470,Aleksandra_Dranka,vote,Merge,Merge to  List of Polish supercentenarians,Editorial Process (article),Suggestion where the article would be best placed (List of Polish supercentenarians),Wikipedia:Articles for deletion/Aleksandra_Dranka
Q16527470,Aleksandra_Dranka,vote,Merge,"I do not see why age would make someone worthy of inclusion in an encyclopedia, particularly given WP:NOTNEWS, WP:ONEEVENT and such",Value + Policy,"Personal judgement on being worthy + cites WP:NOTNEWS, WP:ONEEVENT ",Wikipedia:Articles for deletion/Aleksandra_Dranka
Q16527470,Aleksandra_Dranka,vote,Merge,"However, I do think that a list of oldest people is acceptable, and further, it should be expanded to provide short biographical notes",Editorial Process (article),Sugesst how to improve quality of articles,Wikipedia:Articles for deletion/Aleksandra_Dranka
Q16527470,Aleksandra_Dranka,vote,Merge,"Therefore, my merge vote is not just a simple redirect, but I'd also expect to see the content of that article, including a picture, added there",Editorial Process (article),Suggestion where the article would be best placed (List of Polish supercentenarians),Wikipedia:Articles for deletion/Aleksandra_Dranka
Q16527470,Aleksandra_Dranka,reply,none,Like List of Italian supercentenarians#Venere Pizzinato?,cont'd,_,Wikipedia:Articles for deletion/Aleksandra_Dranka
Q16527470,Aleksandra_Dranka,reply,none,"Will do, through I'd rather see them in a table format",Other,Unrelated to the content of the article,Wikipedia:Articles for deletion/Aleksandra_Dranka
Q16527470,Aleksandra_Dranka,reply,none,We don't do that for the oldest person in any other country,Other,Unrelated to the content of the article,Wikipedia:Articles for deletion/Aleksandra_Dranka
Q16527470,Aleksandra_Dranka,reply,none,"Her biography could be shortened and placed at the bottom of the page, e",Editorial Process (article),Suggestion where the article could be fixed,Wikipedia:Articles for deletion/Aleksandra_Dranka
Q16527470,Aleksandra_Dranka,reply,none,g,Other,Unrelated to the content of the article,Wikipedia:Articles for deletion/Aleksandra_Dranka
Q16527470,Aleksandra_Dranka,reply,none,List of Italian supercentarians and others,Other,Unrelated to the content of the article,Wikipedia:Articles for deletion/Aleksandra_Dranka
Q16527470,Aleksandra_Dranka,comment,none,"""""Strong Keep""""",_,_,Wikipedia:Articles for deletion/Aleksandra_Dranka
Q16527470,Aleksandra_Dranka,comment,none,Mrs,_,_,Wikipedia:Articles for deletion/Aleksandra_Dranka
Q16527470,Aleksandra_Dranka,comment,none,Dranka is the only validated supercentenarian who died in Poland,Fact,Verifiable statement,Wikipedia:Articles for deletion/Aleksandra_Dranka
Q16527470,Aleksandra_Dranka,vote,Keep or Merge,Keep or Merge As per Ollie231213,Other's Argument,Agrees with someone else,Wikipedia:Articles for deletion/Aleksandra_Dranka
Q16527470,Aleksandra_Dranka,comment,none,"*Strong Keep The article was nominated for deletion in the past and the outcome of the discussion was ""keep""",Fact,Verifiable statement,Wikipedia:Articles for deletion/Aleksandra_Dranka
Q16527470,Aleksandra_Dranka,comment,none,"Now, the article has been expanded with the addition of new sources",Editorial Process (article),Sugesst how to improve quality of articles,Wikipedia:Articles for deletion/Aleksandra_Dranka
Q16527470,Aleksandra_Dranka,comment,none,"Not only, Aleksandra Dranka was the oldest living person in Poland, but also, in the light of the current knowledge, she is the longevity record-holder of the country, as she is the only fully-verified supercentenarian whose last place of residence was Poland",Fact,Verifiable statement,Wikipedia:Articles for deletion/Aleksandra_Dranka
Q16527470,Aleksandra_Dranka,comment,none,"Thus she has been recognized by both the President and the Prime Minister of Poland, as well as by the independent international scientific society which is the Gerontology Research Group, cooperating with the Guinness World Records",Fact,Verifiable statement,Wikipedia:Articles for deletion/Aleksandra_Dranka
Q16527470,Aleksandra_Dranka,comment,none,"Having said that, I conclude that the notability of Aleksandra Dranka has been proven beyond reasonable doubt and any further attempts to undermine it, could be seen as signes of a negative bias towards the supercentenarian study and the study of extreme longevity",Value,Personal opinion on ntability,Wikipedia:Articles for deletion/Aleksandra_Dranka
Q16527470,Aleksandra_Dranka,comment,none,"*Comment In my humble opinion, the use of the word ""subject"" is inappropriate here",Other,It does not argue for anything,Wikipedia:Articles for deletion/Aleksandra_Dranka
Q16527470,Aleksandra_Dranka,comment,none,The matter is about a person who lived on the same planet and breathe the same air,Other,Unrelated to the content of the article,Wikipedia:Articles for deletion/Aleksandra_Dranka
Q16527470,Aleksandra_Dranka,comment,none,"Secondly, In the supercentenarian study, which is an independent branch of science, no information given on any supercentenarian is trivial and it can't be considered as such",Value,Personal opinion on triviality  ,Wikipedia:Articles for deletion/Aleksandra_Dranka
Q16527470,Aleksandra_Dranka,comment,none,One must not neglect any piece of information given on person's life,Value,Personal opinion on what is important and what is not,Wikipedia:Articles for deletion/Aleksandra_Dranka
Q16527470,Aleksandra_Dranka,comment,none,"Because any detail of a supercentenarian's life is substantial and intrinsic, as it concerns the person individually and may have contributed to her/his longevity",Value,Personal judgement that a supercentinarian life is important as a whole,Wikipedia:Articles for deletion/Aleksandra_Dranka
Q16527470,Aleksandra_Dranka,comment,none,"That is why Aleksandra Dranka, as a notable person even among supercentenarians (longevity record-holder of a country and historically first person ever scientifically proven to have reached the supercentenarian status in her country of last residence",Value,Personal opinion on notability,Wikipedia:Articles for deletion/Aleksandra_Dranka
Q16527470,Aleksandra_Dranka,comment,none,"*Comment Dear Piotr Konieczny aka Prokonsul Piotrus, I wish to inform that the fact of being the oldest verified person in the modern history of Poland not only makes Mrs",To be cont'd,_,Wikipedia:Articles for deletion/Aleksandra_Dranka
Q16527470,Aleksandra_Dranka,comment,none,"Aleksandra Dranka notable in respect of longevity study, but also it does make her a notable person for the history of Poland",Fact + Value,"Value because notability is subjective + Fact, you can verify if she is the oldest verified person",Wikipedia:Articles for deletion/Aleksandra_Dranka
Q16527470,Aleksandra_Dranka,comment,none,One has to have the sensitivity to notice that,Other,Does not argue for anything,Wikipedia:Articles for deletion/Aleksandra_Dranka
Q16527470,Aleksandra_Dranka,comment,none,"Therefore, I believe she deserves having a stand alone article",Value,Personal belief,Wikipedia:Articles for deletion/Aleksandra_Dranka
Q16527470,Aleksandra_Dranka,comment,none,"Moreover, WP:NOTNEWS, WP:ONEEVENT are not applicable in this matter, since the age of Mrs",Policy,"Cites a Wikipedia policy WP:NOTNEWS, WP:ONEEVENT ",Wikipedia:Articles for deletion/Aleksandra_Dranka
Q16527470,Aleksandra_Dranka,comment,none,Aleksandra Dranka has been a matter of the international study performed by Gerontology Research Group which ended with a success unprecedented in Polish history,Fact,Verifiable statement,Wikipedia:Articles for deletion/Aleksandra_Dranka
Q16527470,Aleksandra_Dranka,comment,none,"Finally, reaching an extreme age can hardly be considered as ""one event"" which is emphasized by the fact that Aleksandra Dranka has been present in the Polish press for more than 7 years, independently from the scientific study that was conducted in order to prove the authenticity of her extreme age",Fact,Verifiable statement,Wikipedia:Articles for deletion/Aleksandra_Dranka
Q16527470,Aleksandra_Dranka,comment,none,Sincerely,_,_,Wikipedia:Articles for deletion/Aleksandra_Dranka
Q16527470,Aleksandra_Dranka,comment,none,::: Of course you do: [Emma Morano (https://en,Other,No rationale,Wikipedia:Articles for deletion/Aleksandra_Dranka
Q16527470,Aleksandra_Dranka,comment,none,"AND FACTORS IN EUROPE"" [Link to the abstract (http://www.uspv.lt/005-042_abstracts_vol_12_precursor_25.pdf)]",To be cont'd,_,Wikipedia:Articles for deletion/Aleksandra_Dranka
Q16527470,Aleksandra_Dranka,comment,none,"pdf)] That paper was published in Polish-Lithuanian scientific journal ""Studium Vilnense"" its presentation on the XVIIIth International Conference on the SCIENCE AND QUALITY OF LIFE and Symposium VILNIUS REGION: PAST, PRESENT, FUTURE, which was held in Vilnius, Lithuania, on June 28-July 1, 2014",Reference,"External link, standalone citation",Wikipedia:Articles for deletion/Aleksandra_Dranka
Q16527470,Aleksandra_Dranka,comment,none,I added the corresponding source,Editorial Process (article),Fixes article by adding source,Wikipedia:Articles for deletion/Aleksandra_Dranka
Q16527470,Aleksandra_Dranka,comment,none,"That said, I am convinced that Aleksandra Dranka, being a part of an independent study on the scientific level, deserves a stand alone article",Value,Personal opinion,Wikipedia:Articles for deletion/Aleksandra_Dranka
Q16527470,Aleksandra_Dranka,vote,Redirect,Redirect,Editorial Process (article),Suggestion where the article would be best placed,Wikipedia:Articles for deletion/Aleksandra_Dranka
Q16527470,Aleksandra_Dranka,vote,Redirect,"Based on current article, I can see no particular grounds for WP:NOTABLE here",Policy,Cites a Wikipedia policy WP:NOTABLE,Wikipedia:Articles for deletion/Aleksandra_Dranka
Q16527470,Aleksandra_Dranka,vote,Redirect,Inclusion in existing list should suffice,Editorial Process (article),Suggestion where the article would be best placed,Wikipedia:Articles for deletion/Aleksandra_Dranka
Q16527470,Aleksandra_Dranka,vote,Redirect,Support arguments made by Dirtlawyer1 upthread,Other's Argument,Agrees with someone else,Wikipedia:Articles for deletion/Aleksandra_Dranka
Q16527470,Aleksandra_Dranka,vote,keep,keep or merge,Editorial Process (article),Suggestion where the article would be best placed,Wikipedia:Articles for deletion/Aleksandra_Dranka
Q16527470,Aleksandra_Dranka,vote,keep,Satisfies WP:GNG,Policy,Cites a wikipedia policy WP:GNG,Wikipedia:Articles for deletion/Aleksandra_Dranka
Q16527470,Aleksandra_Dranka,vote,keep,"It does not matter that the overall life was mundane; as long as we have multiple coverage of her ""sense of humor"" or whatever in national news, it means she is nationally notable",Value,Personal Opinion on notability,Wikipedia:Articles for deletion/Aleksandra_Dranka
Q16527470,Aleksandra_Dranka,reply,none,"Actually, the Italian page has both the table and the bio sections",Editorial Process (article),Suggestion how to improve the articles,Wikipedia:Articles for deletion/Aleksandra_Dranka
Q16527470,Aleksandra_Dranka,reply,none,"If you squeeze the bio into the table, it will be unreadable, especially keeping in mind that not every table entry must have a bio sketch",Editorial Process (article),Suggestion how to improve the articles,Wikipedia:Articles for deletion/Aleksandra_Dranka
Q16527470,Aleksandra_Dranka,vote,delete,"delete Everyone's life is interesting, and so is Dranka's",Value,"This commenter thought since everyone's life is interesting then Dranka's life should be also interesting, it's worth an article.",Wikipedia:Articles for deletion/Aleksandra_Dranka
Q16527470,Aleksandra_Dranka,vote,delete,"Also, we care, and wonder, and worry, about our own mortality",Value,Personal judgement about everyone's preocupations,Wikipedia:Articles for deletion/Aleksandra_Dranka
Q16527470,Aleksandra_Dranka,vote,delete,So the death of a local Methuselah is quite likely to spur a relatively *short burst of news*,Value,Personal opinion on what bursts news,Wikipedia:Articles for deletion/Aleksandra_Dranka
Q16527470,Aleksandra_Dranka,vote,delete,That does not amount to (wp-)notability,Policy,Cite WP policy,Wikipedia:Articles for deletion/Aleksandra_Dranka
Q16527470,Aleksandra_Dranka,vote,delete,"If the list exists than a redirect won't hurt, but is not really needed either as the search engine will get there anyway",Other,No relation with article or argument,Wikipedia:Articles for deletion/Aleksandra_Dranka
Q4766375,Ann_Dunnigan,Nomination,none,"No evidence of significant coverage in reliable independent sources, therefore fails to meet criteria set out in WP:GNG",Value + Policy,Value because significant is the subjective judgement of sources + Policy Cites Wikipedia policy WP:GNG,Wikipedia:Articles for deletion/Ann_Dunnigan
Q4766375,Ann_Dunnigan,Nomination,none,"She has translated a number of notable works, obviously, but that hasn't resulted in enough coverage of her to meet notability guidelines",Fact + Value,"Fact since you can verify the translated works + Value, personal opion in notability,  ""enough coverage"" enough is a subjective judgement",Wikipedia:Articles for deletion/Ann_Dunnigan
Q4766375,Ann_Dunnigan,Nomination,none,"PROD was declined about a year ago with the note ""this has a strong enough likelihood of notability to mean that it shouldn't be deleted without discussion"", but no new sources have been added",Other,Unrelated to the content of the article,Wikipedia:Articles for deletion/Ann_Dunnigan
Q4766375,Ann_Dunnigan,comment,none,"*Delete, as nominator",Other's Argument,Do the sources count as part of article? Agrees with someone else,Wikipedia:Articles for deletion/Ann_Dunnigan
Q4766375,Ann_Dunnigan,vote,Keep,"Keep She merited an obituary in the NY Times and her name repeatedly comes up in the Google Books search in relation to her translations, so enough to presume inclusion rather than exclusion here",Fact,Verifiable statements,Wikipedia:Articles for deletion/Ann_Dunnigan
Q4766375,Ann_Dunnigan,comment,none,I won't vote since I created the article,Other,Unrelated to the content of the article,Wikipedia:Articles for deletion/Ann_Dunnigan
Q4766375,Ann_Dunnigan,comment,none,"I've been lax in adding secondary sources accounting for her literary influence and acting career, but I'll try to rectify this today",Editorial Process (article),Fixing article by adding sources,Wikipedia:Articles for deletion/Ann_Dunnigan
Q4766375,Ann_Dunnigan,comment,none,"As for ""No evidence of significant coverage in relieble [sic] independent sources"", I don't know which  sources you checked, but please remember that sometimes you have to look beyond the web for documentation",Other,Reply to someone else's comment,Wikipedia:Articles for deletion/Ann_Dunnigan
Q4766375,Ann_Dunnigan,reply,none,Please add new comments below this notice,Other,Off topic,Wikipedia:Articles for deletion/Ann_Dunnigan
Q4766375,Ann_Dunnigan,vote,Keep,Keep,_,_,Wikipedia:Articles for deletion/Ann_Dunnigan
Q4766375,Ann_Dunnigan,vote,Keep,"NYT obit alone was a strong indicator of notability, and the recent revisions carry through the claim",Value,Personal opinion on notability,Wikipedia:Articles for deletion/Ann_Dunnigan
Q4766375,Ann_Dunnigan,comment,none,"Based on the recent improvements, I've stricken my ""delete"" !vote",Other,Off topic,Wikipedia:Articles for deletion/Ann_Dunnigan
Q4766375,Ann_Dunnigan,comment,none,"I have no objection to this AFD being closed as ""keep",Value,Personal opinion,Wikipedia:Articles for deletion/Ann_Dunnigan
Q4766375,Ann_Dunnigan,reply,none,"The person has created, or played a major role in co-creating, a significant or well-known work, or collective body of work, that has been the subject of an independent book or feature-length film, or of multiple independent periodical articles or reviews",Fact,Verifiable statement (check the persons's works),Wikipedia:Articles for deletion/Ann_Dunnigan
Q4766375,Ann_Dunnigan,vote,Keep,Keep and close as nominator has since rescinded the deletion request,Other,Off topic,Wikipedia:Articles for deletion/Ann_Dunnigan
Q4766375,Ann_Dunnigan,Outcome,keep,The result was    keep,Other,Off topic,Wikipedia:Articles for deletion/Ann_Dunnigan
Q4767437,Anna_Ringier,Nomination,none,Non-notable supercentenarian,Value,Personal opinion on natability,Wikipedia:Articles for deletion/Anna_Ringier
Q4767437,Anna_Ringier,Nomination,none,Clear failure of WP:GNG as the only reference (that isn't a dead link) is to a WP:ROUTINE obituary,Policy,Cites Wikipedia policy WP:GNG and  WP:ROUTINE,Wikipedia:Articles for deletion/Anna_Ringier
Q4767437,Anna_Ringier,Nomination,none,"Having removed all the unsourced statements, we see nothing in this article that isn't already present at List of Swiss supercentenarians",Fact,Verifiable statement,Wikipedia:Articles for deletion/Anna_Ringier
Q4767437,Anna_Ringier,vote,Keep,Keep multiple reliable sources,Fact,Verify if the sources are reliable ,Wikipedia:Articles for deletion/Anna_Ringier
Q4767437,Anna_Ringier,vote,Keep,I restored the reference that CommanderLinx deleted,_,Off topic,Wikipedia:Articles for deletion/Anna_Ringier
Q4767437,Anna_Ringier,reply,none,I don't recall deleting a reference but anyway,Other,Off topic,Wikipedia:Articles for deletion/Anna_Ringier
Q4767437,Anna_Ringier,reply,none,The first three references go to the same site (suggesting local coverage only),Fact,Verify is the sources go to the same place,Wikipedia:Articles for deletion/Anna_Ringier
Q4767437,Anna_Ringier,reply,none,The fourth mentions her in a sentence (and is about someone else and mentions Ringer in a trivial passing) while the last one is an obituary which looks similar to the first reference,Fact,Verify if the source mentions that,Wikipedia:Articles for deletion/Anna_Ringier
Q4767437,Anna_Ringier,reply,none,Doesn't look like significant coverage to me,Value,Personal opinion on notability,Wikipedia:Articles for deletion/Anna_Ringier
Q4767437,Anna_Ringier,comment,none,"Neue Zürcher Zeitung is the Swiss national newspaper on par with the New York Times, it has ""a reputation as a high quality newspaper and [is] the Swiss newspaper of record""",Fact,Verify if the newspaper has that reputation,Wikipedia:Articles for deletion/Anna_Ringier
Q4767437,Anna_Ringier,comment,none,"Calling it ""local coverage"" is just ignorance",Value,Personal judgement,Wikipedia:Articles for deletion/Anna_Ringier
Q4767437,Anna_Ringier,reply,none,"It may be a great source, but it just shows she fails WP:SIGCOV if half of the sources that cover her go to the same website (with the remaining: one is a trivial mention and the other two are obituaries)",Policy,Cites a wikipedia policy WP:SIGCOV,Wikipedia:Articles for deletion/Anna_Ringier
Q4767437,Anna_Ringier,reply,none,"I've removed the unsourced longevity trivia and this article is now left with a name, age, country, that she was the oldest living Swiss and that she had a husband, children and grandkids",Editorial Process (article),Talks about things that got fixed in the article,Wikipedia:Articles for deletion/Anna_Ringier
Q4767437,Anna_Ringier,reply,none,Really nothing of interest here that couldn't be easily summarized in the table at List of Swiss supercentenarians,Value,Personal opinion on interest,Wikipedia:Articles for deletion/Anna_Ringier
